CFIHOS unique code,UNECE code,unit of measure name,unit of measure symbol,unit of measure dimension code CFIHOS unique code,unit of measure dimension code,unit of measure dimension name,measurement system code CFIHOS unique code,measurement system code,unit of measure synonym name
CFIHOS-60001171,SFM,standard cubic foot per minute,sft3/min,CFIHOS-45000034,VOLFLO,volume flow rate,CFIHOS-60001650,Imperial,
CFIHOS-60001217,SMH,standard cubic metre per hour,s m3/h,CFIHOS-45000034,VOLFLO,volume flow rate,CFIHOS-60001649,SI,
CFIHOS-60001413,LBR,pound-mass,lbm,CFIHOS-45000013,MASS,mass / weight,CFIHOS-60001650,Imperial,pound
CFIHOS-60001422,G2,US gallon per minute,gal[US]/min,CFIHOS-45000034,VOLFLO,volume flow rate,CFIHOS-60001650,Imperial,gallon (US) per minute
CFIHOS-60001423,VLT,volt,V,CFIHOS-45000038,VOLTAG,electrical tension / voltage,,,
CFIHOS-60001425,D53,watt per metre kelvin,W/(m.K),CFIHOS-45000029,THCOND,thermal conductivity,CFIHOS-60001649,SI,
CFIHOS-60001426,ANN,year,y,CFIHOS-45000031,TIME,time,,,
CFIHOS-60001427,AMP,ampere,A,CFIHOS-45000007,ECURR,electrical current / amperage,,,
CFIHOS-60001428,AMH,ampere hour,A.h,CFIHOS-45000005,CHARGE,electrical charge,,,ampere-hour
CFIHOS-60001429,A11,angstrom,angstrom,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,ångström
CFIHOS-60001430,BRA,bar absolute,bar(a),CFIHOS-45000017,PRESS,pressure,CFIHOS-60001649,SI,
CFIHOS-60001431,BRG,bar gauge,bar(g),CFIHOS-45000017,PRESS,pressure,CFIHOS-60001649,SI,
CFIHOS-60001432,C7,centipoise,cP,CFIHOS-45000004,VISDYN,dynamic viscosity,CFIHOS-60001649,SI,
CFIHOS-60001433,4C,centistokes,cSt,CFIHOS-45000010,VISKIN,kinematic viscosity,CFIHOS-60001649,SI,
CFIHOS-60001434,2N,decibel,dB,CFIHOS-45000021,SOUND,sound,CFIHOS-60001649,SI,
CFIHOS-60001435,CEL,degree celsius,degC,CFIHOS-45000028,TEMP,temperature,CFIHOS-60001649,SI,
CFIHOS-60001436,FAH,degree fahrenheit,degF,CFIHOS-45000028,TEMP,temperature,CFIHOS-60001650,Imperial,
CFIHOS-60001437,FAR,farad,F,CFIHOS-45000001,CAPACI,capacitance,,,
CFIHOS-60001438,FOT,foot,ft,CFIHOS-45000011,LENGTH,length,CFIHOS-60001650,Imperial,
CFIHOS-60001439,FTQ,cubic foot,ft3,CFIHOS-45000033,VOLUME,volume,CFIHOS-60001650,Imperial,
CFIHOS-60001440,2K,cubic foot per hour,ft3/h,CFIHOS-45000034,VOLFLO,volume flow rate,CFIHOS-60001650,Imperial,
CFIHOS-60001441,FS,foot per second,ft/s,CFIHOS-45000025,SPEED,speed,CFIHOS-60001650,Imperial,
CFIHOS-60001442,FTK,square foot,ft2,CFIHOS-45000026,SURFAC,surface / area,CFIHOS-60001650,Imperial,
CFIHOS-60001443,HTZ,hertz,Hz,CFIHOS-45000009,FREQU,frequency,,,
CFIHOS-60001444,HJ,metric-horsepower,metric hp,CFIHOS-45000016,POWER,power,,,metric horse power
CFIHOS-60001445,HUR,hour,h,CFIHOS-45000031,TIME,time,,,
CFIHOS-60001446,INH,inch,in,CFIHOS-45000011,LENGTH,length,CFIHOS-60001650,Imperial,
CFIHOS-60001447,INK,square inch,in2,CFIHOS-45000026,SURFAC,surface / area,CFIHOS-60001650,Imperial,inch squared
CFIHOS-60001448,B22,kiloampere,kA,CFIHOS-45000007,ECURR,electrical current / amperage,,,
CFIHOS-60001449,KGM,kilogram,kg,CFIHOS-45000013,MASS,mass / weight,CFIHOS-60001649,SI,
CFIHOS-60001450,E93,kilogram per hour,kg/h,CFIHOS-45000014,MASFLO,mass flow rate,CFIHOS-60001649,SI,
CFIHOS-60001451,KMQ,kilogram per cubic metre,kg/m3,CFIHOS-45000002,DENSI,density,CFIHOS-60001649,SI,
CFIHOS-60001452,KGS,kilogram per second,kg/s,CFIHOS-45000014,MASFLO,mass flow rate,CFIHOS-60001649,SI,
CFIHOS-60001453,B42,kilojoule per kilogram,kJ/kg,CFIHOS-45000022,SPENER,specific energy,CFIHOS-60001649,SI,
CFIHOS-60001454,B43,kilojoule per kilogram kelvin,kJ/(kg.K),CFIHOS-45000023,SPHCAP,specific heat capacity,CFIHOS-60001649,SI,
CFIHOS-60001455,B47,kilonewton,kN,CFIHOS-45000039,FORCE,force,CFIHOS-60001649,SI,
CFIHOS-60001456,KVT,kilovolt,kV,CFIHOS-45000038,VOLTAG,electrical tension / voltage,,,
CFIHOS-60001457,KVA,kilovolt-ampere,kVA,CFIHOS-45000016,POWER,power,,,
CFIHOS-60001458,KWT,kilowatt,kW,CFIHOS-45000016,POWER,power,CFIHOS-60001649,SI,
CFIHOS-60001459,LTR,litre,l,CFIHOS-45000033,VOLUME,volume,CFIHOS-60001649,SI,
CFIHOS-60001460,G51,litre per second,l/s,CFIHOS-45000034,VOLFLO,volume flow rate,CFIHOS-60001649,SI,
CFIHOS-60001461,MTR,metre,m,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-60001462,MTQ,cubic metre,m3,CFIHOS-45000033,VOLUME,volume,CFIHOS-60001649,SI,
CFIHOS-60001463,MQH,cubic metre per hour,m3/h,CFIHOS-45000034,VOLFLO,volume flow rate,CFIHOS-60001649,SI,
CFIHOS-60001464,MQS,cubic metre per second,m3/s,CFIHOS-45000034,VOLFLO,volume flow rate,CFIHOS-60001649,SI,
CFIHOS-60001465,MTS,metre per second,m/s,CFIHOS-45000025,SPEED,speed,CFIHOS-60001649,SI,
CFIHOS-60001466,MTK,square metre,m2,CFIHOS-45000026,SURFAC,surface / area,CFIHOS-60001649,SI,
CFIHOS-60001467,D19,metre squared kelvin per watt,m2.K/W,CFIHOS-45000030,THINSU,thermal insulation,CFIHOS-60001649,SI,
CFIHOS-60001468,NA,milligram per kilogram,mg/kg,CFIHOS-45000015,MPROPO,mass proportion,CFIHOS-60001649,SI,
CFIHOS-60001469,MMT,millimetre,mm,CFIHOS-45000011,LENGTH,length,CFIHOS-60001649,SI,
CFIHOS-60001470,MMK,square millimetre,mm2,CFIHOS-45000026,SURFAC,surface / area,CFIHOS-60001649,SI,
CFIHOS-60001471,C17,square millimetre per second,mm2/s,CFIHOS-45000010,VISKIN,kinematic viscosity,CFIHOS-60001649,SI,
CFIHOS-60001472,C24,millipascal second,mPa.s,CFIHOS-45000004,VISDYN,dynamic viscosity,CFIHOS-60001649,SI,millipascal-second
CFIHOS-60001473,MIN,minute,min,CFIHOS-45000031,TIME,time,,,
CFIHOS-60001474,NEW,newton,N,CFIHOS-45000039,FORCE,force,CFIHOS-60001649,SI,
CFIHOS-60001475,4P,newton per metre,N/m,CFIHOS-45000027,SURFTE,surface tension,CFIHOS-60001649,SI,
CFIHOS-60001476,OHM,ohm,Ohm,CFIHOS-45000020,RESIST,resistance,,,
CFIHOS-60001477,87,pound-mass per cubic foot,lbm/ft3,CFIHOS-45000002,DENSI,density,CFIHOS-60001650,Imperial,pound per cubic foot
CFIHOS-60001478,4U,pound per hour,lb/h,CFIHOS-45000014,MASFLO,mass flow rate,CFIHOS-60001650,Imperial,
CFIHOS-60001479,LBS,pound-mass per second,lbm/s,CFIHOS-45000014,MASFLO,mass flow rate,CFIHOS-60001650,Imperial,pound per second
CFIHOS-60001480,RPM,revolution per minute,rpm,CFIHOS-45000036,ANGVEL,angular velocity,,,
CFIHOS-60001481,SEC,second,s,CFIHOS-45000031,TIME,time,,,
CFIHOS-60001482,TNE,tonne,t,CFIHOS-45000013,MASS,mass / weight,CFIHOS-60001649,SI,metric tonne
CFIHOS-65000000,VP,percent [volume basis],%[vol],CFIHOS-45000044,VPROPO,volume proportion,,,percent (volume)
CFIHOS-65000001,K43,electric-horsepower,hp[elec],CFIHOS-45000016,POWER,power,,,electric horse power
CFIHOS-65000002,WEE,week,wk,CFIHOS-45000031,TIME,time,,,
CFIHOS-65000003,DAY,day,d,CFIHOS-45000031,TIME,time,,,
CFIHOS-65000004,MON,month,mo,CFIHOS-45000031,TIME,time,,,
CFIHOS-65000009,NX,part per thousand,ppk,CFIHOS-45000015;CFIHOS-45000044;CFIHOS-45000048;CFIHOS-45000045,MPROPO;VPROPO;AMSPAS;NODMNS,mass proportion;volume proportion;amount of substance per amount of substance;dimensionless,,,
CFIHOS-65000010,,euclid,Euc,CFIHOS-45000015;CFIHOS-45000044;CFIHOS-45000048;CFIHOS-45000173;CFIHOS-45000096;CFIHOS-45000146;CFIHOS-45000108;CFIHOS-45000060;CFIHOS-45000172;CFIHOS-45000045,MPROPO;VPROPO;AMSPAS;VFRRAT;FORRAT;PWPERP;LENRAT;ARERAT;TPERT;NODMNS,mass proportion;volume proportion;amount of substance per amount of substance;volume flow rate per volume flow rate;force per force;power per power;length per length;area per area;time per time;dimensionless,CFIHOS-60001649,SI,
CFIHOS-65000011,AD,byte,byte,CFIHOS-45000073,DIGSTO,digital storage,,,
CFIHOS-65000012,A99,bit,bit,CFIHOS-45000073,DIGSTO,digital storage,CFIHOS-60001649,SI,
CFIHOS-65000013,,percent [mass basis],%[mass],CFIHOS-45000015,MPROPO,mass proportion,,,
CFIHOS-65000014,,part per million [mass basis],ppm[mass],CFIHOS-45000015,MPROPO,mass proportion,,,
CFIHOS-65000015,,percent [area basis],%[area],CFIHOS-45000060,ARERAT,area per area,,,
CFIHOS-65000016,,part per million [volume basis],ppm[vol],CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000017,,percent [molar basis],%[molar],CFIHOS-45000048,AMSPAS,amount of substance per amount of substance,,,
CFIHOS-65000018,,(barrel per day) per (barrel per day),(bbl/d)/(bbl/d),CFIHOS-45000173,VFRRAT,volume flow rate per volume flow rate,,,
CFIHOS-65000019,,(cubic metre per day) per (cubic metre per day),(m3/d)/(m3/d),CFIHOS-45000173,VFRRAT,volume flow rate per volume flow rate,CFIHOS-60001649,SI,
CFIHOS-65000020,,(million cubic foot per day) per (barrel per day),1E6 (ft3/d)/(bbl/d),CFIHOS-45000173,VFRRAT,volume flow rate per volume flow rate,,,
CFIHOS-65000021,,(cubic metre per second) per (cubic metre per second),(m3/s)/(m3/s),CFIHOS-45000173,VFRRAT,volume flow rate per volume flow rate,CFIHOS-60001649,SI,
CFIHOS-65000022,M29,kilogram per kilogram,kg/kg,CFIHOS-45000015,MPROPO,mass proportion,CFIHOS-60001649,SI,
CFIHOS-65000023,,metre per metre,m/m,CFIHOS-45000108,LENRAT,length per length,CFIHOS-60001649,SI,
CFIHOS-65000024,,square metre per square metre,m2/m2,CFIHOS-45000060,ARERAT,area per area,CFIHOS-60001649,SI,
CFIHOS-65000025,H60,cubic metre per cubic metre,m3/m3,CFIHOS-45000044,VPROPO,volume proportion,CFIHOS-60001649,SI,
CFIHOS-65000026,,mole per mole,mol/mol,CFIHOS-45000048,AMSPAS,amount of substance per amount of substance,CFIHOS-60001649,SI,
CFIHOS-65000027,,newton per newton,N/N,CFIHOS-45000096,FORRAT,force per force,CFIHOS-60001649,SI,
CFIHOS-65000028,,second per second,s/s,CFIHOS-45000172,TPERT,time per time,CFIHOS-60001649,SI,
CFIHOS-65000029,,watt per watt,W/W,CFIHOS-45000146,PWPERP,power per power,CFIHOS-60001649,SI,
CFIHOS-65000030,GK,gram per kilogram,g/kg,CFIHOS-45000015,MPROPO,mass proportion,CFIHOS-60001649,SI,
CFIHOS-65000031,,gram per tonne,g/t,CFIHOS-45000015,MPROPO,mass proportion,CFIHOS-60001649,SI,
CFIHOS-65000032,,kilogram per 94-pound-sack,kg/sack[94lbm],CFIHOS-45000015,MPROPO,mass proportion,,,
CFIHOS-65000033,,kilogram per tonne,kg/t,CFIHOS-45000015,MPROPO,mass proportion,CFIHOS-60001649,SI,
CFIHOS-65000034,H64,milligram per gram,mg/g,CFIHOS-45000015,MPROPO,mass proportion,CFIHOS-60001649,SI,
CFIHOS-65000035,,nanogram per gram,ng/g,CFIHOS-45000015,MPROPO,mass proportion,CFIHOS-60001649,SI,
CFIHOS-65000036,,nanogram per milligram,ng/mg,CFIHOS-45000015,MPROPO,mass proportion,CFIHOS-60001649,SI,
CFIHOS-65000037,,microgram per gram,ug/g,CFIHOS-45000015,MPROPO,mass proportion,CFIHOS-60001649,SI,
CFIHOS-65000038,,microgram per milligram,ug/mg,CFIHOS-45000015,MPROPO,mass proportion,CFIHOS-60001649,SI,
CFIHOS-65000039,,foot per hundred foot,0.01 ft/ft,CFIHOS-45000108,LENRAT,length per length,,,
CFIHOS-65000040,,metre per thirty metre,1/30 m/m,CFIHOS-45000108,LENRAT,length per length,,,
CFIHOS-65000041,,foot per foot,ft/ft,CFIHOS-45000108,LENRAT,length per length,,,
CFIHOS-65000042,,foot per inch,ft/in,CFIHOS-45000108,LENRAT,length per length,,,
CFIHOS-65000043,,foot per metre,ft/m,CFIHOS-45000108,LENRAT,length per length,,,
CFIHOS-65000044,,foot per mile,ft/mi,CFIHOS-45000108,LENRAT,length per length,,,
CFIHOS-65000045,,kilometre per centimetre,km/cm,CFIHOS-45000108,LENRAT,length per length,CFIHOS-60001649,SI,
CFIHOS-65000046,,metre per centimetre,m/cm,CFIHOS-45000108,LENRAT,length per length,CFIHOS-60001649,SI,
CFIHOS-65000047,,metre per kilometre,m/km,CFIHOS-45000108,LENRAT,length per length,CFIHOS-60001649,SI,
CFIHOS-65000048,,mile per inch,mi/in,CFIHOS-45000108,LENRAT,length per length,,,
CFIHOS-65000049,,square inch per square foot,in2/ft2,CFIHOS-45000060,ARERAT,area per area,,,
CFIHOS-65000050,,square inch per square inch,in2/in2,CFIHOS-45000060,ARERAT,area per area,,,
CFIHOS-65000051,,square millimetre per square millimetre,mm2/mm2,CFIHOS-45000060,ARERAT,area per area,CFIHOS-60001649,SI,
CFIHOS-65000052,,barrel per thousand cubic foot,0.001 bbl/ft3,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000053,,barrel per thousand cubic metre,0.001 bbl/m3,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000054,,UK gallon per thousand barrel,0.001 gal[UK]/bbl,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000055,,UK gallon per thousand UK gallon,0.001 gal[UK]/gal[UK],CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000056,,US gallon per thousand barrel,0.001 gal[US]/bbl,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000057,,US gallon per thousand cubic foot,0.001 gal[US]/ft3,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000058,,US gallon per thousand US gallon,0.001 gal[US]/gal[US],CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000059,,UK pint per thousand barrel,0.001 pt[UK]/bbl,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000060,,barrel per hundred barrel,0.01 bbl/bbl,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000061,,US gallon per ten barrel,0.1 gal[US]/bbl,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000062,,litre per ten barrel,0.1 L/bbl,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000063,,US pint per ten barrel,0.1 pt[US]/bbl,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000064,,thousand cubic foot per barrel,1000 ft3/bbl,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000065,,thousand cubic metre per cubic metre,1000 m3/m3,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000066,,acre foot per million barrel,1E-6 acre.ft/bbl,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000067,,million barrel per acre foot,1E6 bbl/(acre.ft),CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000068,,barrel per million cubic foot,1E-6 bbl/ft3,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000069,,barrel per million cubic metre,1E-6 bbl/m3,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000070,,million cubic foot per acre foot,1E6 ft3/(acre.ft),CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000071,,million cubic foot per barrel,1E6 ft3/bbl,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000072,,barrel per acre foot,bbl/(acre.ft),CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000073,,barrel per barrel,bbl/bbl,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000074,,barrel per cubic foot,bbl/ft3,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000075,,barrel per cubic metre,bbl/m3,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000076,,cubic centimetre per cubic centimetre,cm3/cm3,CFIHOS-45000044,VPROPO,volume proportion,CFIHOS-60001649,SI,
CFIHOS-65000077,,cubic centimetre per litre,cm3/L,CFIHOS-45000044,VPROPO,volume proportion,CFIHOS-60001649,SI,
CFIHOS-65000078,J87,cubic centimetre per cubic metre,cm3/m3,CFIHOS-45000044,VPROPO,volume proportion,CFIHOS-60001649,SI,
CFIHOS-65000079,J91,cubic decimetre per cubic metre,dm3/m3,CFIHOS-45000044,VPROPO,volume proportion,CFIHOS-60001649,SI,
CFIHOS-65000080,,cubic foot per barrel,ft3/bbl,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000081,,cubic foot per cubic foot,ft3/ft3,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000082,,UK gallon per cubic foot,gal[UK]/ft3,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000083,,US gallon per barrel,gal[US]/bbl,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000084,,US gallon per cubic foot,gal[US]/ft3,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000085,,litre per cubic metre,L/m3,CFIHOS-45000044,VPROPO,volume proportion,CFIHOS-60001649,SI,
CFIHOS-65000086,,cubic metre per hectare metre,m3/(ha.m),CFIHOS-45000044,VPROPO,volume proportion,CFIHOS-60001649,SI,
CFIHOS-65000087,,cubic metre per barrel,m3/bbl,CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000088,,millilitre per UK gallon,mL/gal[UK],CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000089,,millilitre per US gallon,mL/gal[US],CFIHOS-45000044,VPROPO,volume proportion,,,
CFIHOS-65000090,,millilitre per millilitre,mL/mL,CFIHOS-45000044,VPROPO,volume proportion,CFIHOS-60001649,SI,
CFIHOS-65000091,,thousand gram-force per kilogram-force,kgf/kgf,CFIHOS-45000096,FORRAT,force per force,,,
CFIHOS-65000092,,pound-force per pound-force,lbf/lbf,CFIHOS-45000096,FORRAT,force per force,,,
CFIHOS-65000093,,millisecond per second,ms/s,CFIHOS-45000172,TPERT,time per time,CFIHOS-60001649,SI,
CFIHOS-65000094,,BTU per horsepower hour,Btu[IT]/(hp.h),CFIHOS-45000146,PWPERP,power per power,,,
CFIHOS-65000095,,watt per kilowatt,W/kW,CFIHOS-45000146,PWPERP,power per power,CFIHOS-60001649,SI,
CFIHOS-65000096,,centieuclid,cEuc,CFIHOS-45000045,NODMNS,dimensionless,CFIHOS-60001649,SI,
CFIHOS-65000097,,decieuclid,dEuc,CFIHOS-45000045,NODMNS,dimensionless,CFIHOS-60001649,SI,
CFIHOS-65000098,,exaeuclid,EEuc,CFIHOS-45000045,NODMNS,dimensionless,CFIHOS-60001649,SI,
CFIHOS-65000099,,femtoeuclid,fEuc,CFIHOS-45000045,NODMNS,dimensionless,CFIHOS-60001649,SI,
CFIHOS-65000100,,gigaeuclid,GEuc,CFIHOS-45000045,NODMNS,dimensionless,CFIHOS-60001649,SI,
CFIHOS-65000101,,kiloeuclid,kEuc,CFIHOS-45000045,NODMNS,dimensionless,CFIHOS-60001649,SI,
CFIHOS-65000102,,millieuclid,mEuc,CFIHOS-45000045,NODMNS,dimensionless,CFIHOS-60001649,SI,
CFIHOS-65000103,,megaeuclid,MEuc,CFIHOS-45000045,NODMNS,dimensionless,CFIHOS-60001649,SI,
CFIHOS-65000104,,nanoeuclid,nEuc,CFIHOS-45000048;CFIHOS-45000045,AMSPAS;NODMNS,amount of substance per amount of substance;dimensionless,CFIHOS-60001649,SI,
CFIHOS-65000105,,picoeuclid,pEuc,CFIHOS-45000045,NODMNS,dimensionless,CFIHOS-60001649,SI,
CFIHOS-65000106,,teraeuclid,TEuc,CFIHOS-45000045,NODMNS,dimensionless,CFIHOS-60001649,SI,
CFIHOS-65000107,,microeuclid,uEuc,CFIHOS-45000045,NODMNS,dimensionless,CFIHOS-60001649,SI,
CFIHOS-65000108,E64,kibibyte,Kibyte,CFIHOS-45000073,DIGSTO,digital storage,,,
CFIHOS-65000109,E63,mebibyte,Mibyte,CFIHOS-45000073,DIGSTO,digital storage,,,
CFIHOS-65000110,,per delta Celsius,1/deltaC,CFIHOS-45000179,VOLTEX,volumetric thermal expansion,CFIHOS-60001649,SI,
CFIHOS-65000111,,per delta Fahrenheit,1/deltaF,CFIHOS-45000179,VOLTEX,volumetric thermal expansion,,,
CFIHOS-65000112,,per delta Rankine,1/deltaR,CFIHOS-45000179,VOLTEX,volumetric thermal expansion,,,
CFIHOS-65000113,,per delta kelvin,1/deltaK,CFIHOS-45000179;CFIHOS-45000111,VOLTEX;LINTEX,volumetric thermal expansion;linear thermal expansion,CFIHOS-60001649,SI,
CFIHOS-65000114,,metre per metre delta kelvin,m/(m.deltaK),CFIHOS-45000111,LINTEX,linear thermal expansion,CFIHOS-60001649,SI,
CFIHOS-65000115,,cubic metre per cubic metre delta kelvin,m3/(m3.deltaK),CFIHOS-45000179,VOLTEX,volumetric thermal expansion,CFIHOS-60001649,SI,
CFIHOS-65000116,,inch per inch delta Fahrenheit,in/(in.deltaF),CFIHOS-45000111,LINTEX,linear thermal expansion,,,
CFIHOS-65000117,,millimetre per millimetre delta kelvin,mm/(mm.deltaK),CFIHOS-45000111,LINTEX,linear thermal expansion,CFIHOS-60001649,SI,
CFIHOS-65000118,,(cubic metre per million cubic metre) per delta Celsius,1E-6 m3/(m3.deltaC),CFIHOS-45000179,VOLTEX,volumetric thermal expansion,,,
CFIHOS-65000119,,(cubic metre per million cubic metre) per delta Fahrenheit,1E-6 m3/(m3.deltaF),CFIHOS-45000179,VOLTEX,volumetric thermal expansion,,,
CFIHOS-65000120,,(part per million [volume basis]) per delta Celsius,ppm[vol]/deltaC,CFIHOS-45000179,VOLTEX,volumetric thermal expansion,,,
CFIHOS-65000121,,(part per million [volume basis)] per delta Fahrenheit,ppm[vol]/deltaF,CFIHOS-45000179,VOLTEX,volumetric thermal expansion,,,
CFIHOS-65000122,,capture unit,cu,CFIHOS-45000062,ARPVOL,area per volume,,,
CFIHOS-65000123,,per angstrom,1/angstrom,CFIHOS-45000155,RECLEN,reciprocal length,CFIHOS-60001649,SI,
CFIHOS-65000124,,per centimetre,1/cm,CFIHOS-45000155,RECLEN,reciprocal length,CFIHOS-60001649,SI,
CFIHOS-65000125,,per foot,1/ft,CFIHOS-45000155,RECLEN,reciprocal length,,,
CFIHOS-65000126,,per inch,1/in,CFIHOS-45000155,RECLEN,reciprocal length,,,
CFIHOS-65000127,,per mile,1/mi,CFIHOS-45000155,RECLEN,reciprocal length,,,
CFIHOS-65000128,,per millimetre,1/mm,CFIHOS-45000155,RECLEN,reciprocal length,CFIHOS-60001649,SI,
CFIHOS-65000129,,per nanometre,1/nm,CFIHOS-45000155,RECLEN,reciprocal length,CFIHOS-60001649,SI,
CFIHOS-65000130,,per yard,1/yd,CFIHOS-45000155,RECLEN,reciprocal length,,,
CFIHOS-65000131,,per thousand million foot,1E-9 1/ft,CFIHOS-45000155,RECLEN,reciprocal length,,,
CFIHOS-65000132,,barn per cubic centimetre,b/cm3,CFIHOS-45000062,ARPVOL,area per volume,CFIHOS-60001649,SI,
CFIHOS-65000133,,square foot per cubic inch,ft2/in3,CFIHOS-45000062,ARPVOL,area per volume,,,
CFIHOS-65000134,,square metre per cubic centimetre,m2/cm3,CFIHOS-45000062,ARPVOL,area per volume,CFIHOS-60001649,SI,
CFIHOS-65000135,,per metre,1/m,CFIHOS-45000062;CFIHOS-45000155,ARPVOL;RECLEN,area per volume;reciprocal length,CFIHOS-60001649,SI,
CFIHOS-65000136,Q36,square metre per cubic metre,m2/m3,CFIHOS-45000062,ARPVOL,area per volume,CFIHOS-60001649,SI,
CFIHOS-65000137,,per square foot,1/ft2,CFIHOS-45000153,RECARE,reciprocal area,,,
CFIHOS-65000138,,per square kilometre,1/km2,CFIHOS-45000153,RECARE,reciprocal area,CFIHOS-60001649,SI,
CFIHOS-65000139,,per square mile,1/mi2,CFIHOS-45000153,RECARE,reciprocal area,,,
CFIHOS-65000140,,per square metre,1/m2,CFIHOS-45000153,RECARE,reciprocal area,CFIHOS-60001649,SI,
