CFIHOS unique code,section,object,entity name,property name,entity attribute name,definition,note / comment,example,identifier / mandatory / optional,format,constraint must be present in,data source,former section (if different from last published version),relationship verb
CFIHOS-00000010,A.2.11,entity:,corrosion loop,,,"A grouping of tags with similar operating conditions, e.g. pipe, equipment, .. (i.e., made of similar materials of construction, sharing similar corrosion/degradation rate)",Corrosion Loops are created to monitor the corrosions of equipment and thus are important to establish proper inspection strategies.,,,,,Owner/Operator,,
CFIHOS-10000018,,attribute:,corrosion loop,corrosion loop code,,A code that uniquely identifies the corrosion loop at a plant,,Example : CL1101,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000020,,attribute:,corrosion loop,corrosion loop description,,A description of what the corrosion loop is,,Example : V301 separator vessel below demister. Condensate liquid outlet piping to BL.,Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000019,,attribute:,corrosion loop,corrosion loop name,,The name by which the corrosion loop is usually designated,,Example : Absorber circuit,Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000021,,attribute:,corrosion loop,corrosion loop process description,,A description of the process performed by the elements of the corrosion loop,,"Example : V301 separates the 15 barg gas stream into dry saturated gas and condensate containing hydrocarbons, free sour water (CO2 and H2S) and inhibitor.",Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000023,,attribute:,corrosion loop,corrosion loop type code,,The type of corrosion loop that classifies this corrosion loop,,,Optional,"Text, max 10 characters",corrosion loop type,,,classifies
CFIHOS-10000022,,attribute:,corrosion loop,corrosion type description,,A description of the expected effects of the corrosion,,Example : Vessel is made of 15mm PWHT carbon steel including 3mm corrosion allowance.Normal operation Wet CO2 corrosion.Special operating conditions Un-inhibited the corrosion rate is 1.1mm/yr. Inhibiter injection should be monitored and alarmed.,Optional,"Text, max 255 characters",,,,
CFIHOS-10000005,,attribute:,corrosion loop,plant code,,The plant at which the corrosion loop is located,,Example : 6000,Identifier,"Text, max 40 characters",plant,,,monitors corrosion through
CFIHOS-00000011,A.2.12,entity:,corrosion loop type,,,A classification of corrosion loops,,,,,,Owner/Operator,,
CFIHOS-10000023,,attribute:,corrosion loop type,corrosion loop type code,,A code that uniquely identifies the type of corrosion loop,,,Identifier,"Text, max 10 characters",,,,
CFIHOS-10000024,,attribute:,corrosion loop type,corrosion loop type name,,The name by which the corrosion loop type is usually designated,,,Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000028,A.2.13,entity:,tag,,,An object designed for performing functional requirements and serving as a specification for equipment,,,,,,EPC,,
CFIHOS-10000001,,attribute:,tag,area code,,The geographical area within the plant where the tag is located,,Example : Topsides,Optional,"Text, max 10 characters",area,,,locates
CFIHOS-10000009,,attribute:,tag,commissioning unit code,,The unit that will or has commissioned the tag,This should be a leaf node commissioning unit.,Example : 980,Optional,"Text, max 10 characters",leaf node commissioning unit,,,groups
CFIHOS-10000130,,attribute:,tag,construction assembly code,,The construction assembly of a plant where the tag resides,This should be a leaf node construction assembly.,Example : CIU,Optional,"Text, max 10 characters",construction assembly,,,groups
CFIHOS-10000018,,attribute:,tag,corrosion loop code,,The corrosion loop that includes the tag,,Example : CL1101,Optional,"Text, max 40 characters",corrosion loop,,,groups
CFIHOS-10000179,,attribute:,tag,designed by company name,,The company responsible for the design of the tag.,It is sometimes extracted from maintenance management system. The owner / operator and the EPC company need to align on the name of companies.,Example : KWAC,Mandatory,"Text, max 30 characters",company,,,designs
CFIHOS-10000015,,attribute:,tag,maintenance system code,,The maintenance system through which the tag is maintained,,Example : A01.01,Optional,"Text, max 10 characters",maintenance system,,,groups
CFIHOS-10000013,,attribute:,tag,maintenance unit code,,The unit that is in charge of maintaining the tag,,Example : A01,Optional,"Text, max 10 characters",maintenance system,,,groups
CFIHOS-10000158,,attribute:,tag,manufacturer company name,,A name used to uniquely identify the company who manufactures the model / part,,Example : Flowserve,Optional,"Text, max 30 characters",model part,,,is selected for
CFIHOS-10000159,,attribute:,tag,model part name,,A unique name to identify the model part of the manufacturer,,Example : A4 V726 PN 40,Optional,"Text, max 100 characters",model part,,,is selected for
CFIHOS-10000178,,attribute:,tag,parent tag name,,An identification of the parentage of the tag,"The parent tag (also called main tag) can be a package, an instrument loop or an electrical circuit.",Example : 600-036F001,Optional,"Text, max 33 characters",tag,,,is functionally divided in
CFIHOS-10000005,,attribute:,tag,plant code,,The plant where the tag is or will be located,,Example : 6000,Identifier,"Text, max 40 characters",process unit,,,is functionally divided in
CFIHOS-10000157,,attribute:,tag,process unit code,,The process unit within the plant to which the tag provides part of the functionality,,Example : 36,Mandatory,"Text, max 40 characters",process unit,,,is functionally divided in
CFIHOS-10000027,,attribute:,tag,production critical item indicator,,"An indication whether the loss of the functionality provided by the tag would have an immediate cost impact, like a loss of production",,Example : Yes,Mandatory,Boolean (Yes/No),,,,
CFIHOS-10000029,,attribute:,tag,safety critical item group code,,"The safety critical item group assigned to the tag, and identified according to International Standard",This is only required if safety critical item indicator =Yes.,Example : DS001,Optional,"Text, max 40 characters",safety critical item group,,,classifies
CFIHOS-10000028,,attribute:,tag,safety critical item indicator,,"An indication whether the tag should be considered as a safety critical element, as per International Standards.","Safety Critical Elements (SCEs) are those elements of risk barriers, including equipment, hardware, and related control systems, for which :- the failure of which could lead to a major accident or event, or - that mitigate the consequences of a major accident or event. The basis for the selection of SCEs is the assessment of Major Accidents identified in each Asset HSE Case or those documents that support the Case.",Example : Yes,Mandatory,Boolean (Yes/No),,,,
CFIHOS-10000030,,attribute:,tag,safety critical item reason awarded,,A documentation of the outcome of the SCE assessment,This is only required if safety critical item indicator =Yes. It is populated according to International Standard.,Example : from safety case,Optional,"Text, max 30 characters",,,,
CFIHOS-10000040,,attribute:,tag,tag class name,,The full name of the tag or equipment class,The initial set of values will be the CFIHOS unique ids that were assigned to tag classes.,Example : control panel,Mandatory,"Text, max 100 characters",tag class,,,defines the function delivered by
CFIHOS-10000177,,attribute:,tag,tag description,,A functional description of the tag,"The description can also include the parent tag, where required. It should not include tag class, manufacturer and model information.","Example : ''Hot Oil Circulation Pump'' that clearly describes the function of the pump (the equipment assigned can be centrifugal or reciprocating pump). ''V 431 Separator Relief Valve'' that clearly describes the function of the valve, with additional parent related information.",Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000166,,attribute:,tag,tag name,,The full name of a tag,Different companies have different tag naming conventions. A tag name shall be unique within a plant.,Example : 036FV001,Identifier,"Text, max 33 characters",,,,
CFIHOS-10000026,,attribute:,tag,tag requisition number,,A requisition number that has been placed to acquire the tag,,Example : 1234567,Optional,"Text, max 50 characters",,,,
CFIHOS-10000025,,attribute:,tag,tag status,,An identification of the engineering phase in which the tag is,,Example : ASB,Mandatory,"Text, max 40 characters",engineering status,,,classifies
CFIHOS-00000144,A.2.14,entity:,tag alias,,,An alternate name under which a tag may be designated,"These aliases are exchanged between the parties. Their origin may be historical, or alternate naming used by the different parties. But they should always have mapping to the official tag name.",,,,,Owner/Operator,,
CFIHOS-10000005,,attribute:,tag alias,plant code,,The plant where the tag is or will be located,,Example : 6000,Identifier,"Text, max 40 characters",tag,,,is alternatively named
CFIHOS-10000379,,attribute:,tag alias,tag alias name,,The legacy/alternate name given to the tag.  This may be a name from a Contractor/Vendor or it could be an old name assigned by the Owner Operator.,,Example : PM-2012,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000166,,attribute:,tag alias,tag name,,The full name of a tag,Different companies have different tag naming conventions. A tag name shall be unique within a plant.,Example : 036FV001,Identifier,"Text, max 33 characters",tag,,,is alternatively named
CFIHOS-00000138,A.2.15,entity:,industrial complex,,,"A number of discrete or interconnected plants, together with the associated buildings",Definition inspired by ISO 10209 term 'Industrial Complex'. In ISO 15926 RDL it is defined by INDUSTRIAL COMPLEX.,,,,,Owner/Operator,,
CFIHOS-10000367,,attribute:,industrial complex,industrial complex code,,A code that uniquely identifies the industrial complex,,Example : VSI,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000368,,attribute:,industrial complex,industrial complex name,,The full name of the industrial complex,,Example : Ludwigshafen Chemical Complex,Mandatory,"Text, max 256 characters",,,,
CFIHOS-10000003,,attribute:,industrial complex,site code,,A code that uniquely identifies the site,,Example : KAS,Mandatory,"Text, max 40 characters",site,,,includes
CFIHOS-00000038,A.3.02,entity:,tag physical connection,,,A physical connection between tags,"This information is primarily used for mechanical completions. For piping this information can be generated from 3D models. For electrical and instrumentation, this information can be generated from design tools. For pipes, the direction From To is the direction of the flow within the pipe. For electrical cables, the direction From To is the direction of the electrical current. For drivers (e.g., electrical motor), the From To is the direction of the flow of energy, consistent with ISO15926 and ISO22274. For an instrument having only one connection, the From is the Tag the instrument is mounted on (e.g., the vessel). For a valve, not causing a line break, the From is the line the valve is mounted on. For auxiliary equipment (e.g., a filter), the From is the Tag where the auxiliary equipment is mounted on.",,,,,EPC,,
CFIHOS-10000181,,attribute:,tag physical connection,from plant code,,"The plant the process unit is part of, and to which the originating tag belongs",,Example : 6000,Identifier,"Text, max 40 characters",tag,,,is the origin of
CFIHOS-10000182,,attribute:,tag physical connection,from tag name,,The full name of a tag,,Example : 036FV001,Identifier,"Text, max 33 characters",tag,,,is the origin of
CFIHOS-10000183,,attribute:,tag physical connection,to plant code,,"The plant the process unit is part of, and to which the ending tag belongs",,Example : 6000,Identifier,"Text, max 40 characters",tag,,,is the end of
CFIHOS-10000184,,attribute:,tag physical connection,to tag name,,The full name of a tag,,Example : 036FV002,Identifier,"Text, max 33 characters",tag,,,is the end of
CFIHOS-00000009,A.3.03,entity:,company,,,"A legal entity engaged in business as a proprietorship, partnership, corporation, or other form",,,,,,Mix Owner/Operator and EPC,,
CFIHOS-10000149,,attribute:,company,company address line 1,,The first line of the address of the company,,"Example : 6, Water side Business Park Eastways",Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000185,,attribute:,company,company address line 2,,The second line of the address of the company,,Example : New Braunfels,Optional,"Text, max 40 characters",,,,
CFIHOS-10000186,,attribute:,company,company address line 3,,The third line of the address of the company,,Example : Tokyo 105-0004,Optional,"Text, max 40 characters",,,,
CFIHOS-10000038,,attribute:,company,company contact person,,The name of the person to contact in the company,,Example : Mr K. Uchida,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000039,,attribute:,company,company contact person function,,A description of the role of the contact person within the organisation of the company,,Example : Project Manager,Optional,"Text, max 40 characters",,,,
CFIHOS-10000155,,attribute:,company,company email address,,The official email address of the company,,Example : projectjapanmachinery.com,Optional,"Text, max 255 characters",,,,
CFIHOS-10000156,,attribute:,company,company fax number,,The official fax number of the company,,Example : +7 095 230 62 44,Optional,"Text, max 20 characters",,,,
CFIHOS-10000150,,attribute:,company,company name,,A name used to uniquely identify the company,It is sometimes extracted from maintenance management system. The owner / operator and the EPC company need to align on the name of companies.,Example : Flowserve,Identifier,"Text, max 30 characters",,,,
CFIHOS-10000167,,attribute:,company,company telephone number,,The official telephone number of the company,,Example : +44 (0)1932 249866,Optional,"Text, max 20 characters",,,,
CFIHOS-10000151,,attribute:,company,ISO country code,,The country where the company address is located,,Example : US,Mandatory,"Text, max 2 characters",iso country,,,hosts
CFIHOS-10000036,,attribute:,company,manufacturer indicator,,An indicator whether the company is a manufacturer or not,,Example : Yes,Mandatory,Boolean (Yes/No),,,,
CFIHOS-10000037,,attribute:,company,supplier indicator,,An indicator whether the company is a supplier or not,,Example : Yes,Mandatory,Boolean (Yes/No),,,,
CFIHOS-00000036,A.3.04,entity:,purchase order,,,A commercial document used to request a third party to supply goods or services in return for payment,,,,,,Mix Owner/Operator and EPC,,
CFIHOS-10000161,,attribute:,purchase order,project code,,A code that uniquely identifies the project,,Example : FLNG,Optional,"Text, max 10 characters",project,,,is the reason for
CFIHOS-10000136,,attribute:,purchase order,purchase order date,,The date the purchase order is issued,,Example : 1/1/2010,Mandatory,Date,,,,
CFIHOS-10000187,,attribute:,purchase order,purchase order description,,A description of what is being purchased,,Example : Spare parts and materials for Fire Water Pump overhaul.,Mandatory,"Text, max 50 characters",,,,
CFIHOS-10000180,,attribute:,purchase order,purchase order issuer company name,,The name of the company issuing the purchase order,,Example : Engineering and co Ltd,Identifier,"Text, max 30 characters",company,,,issues
CFIHOS-10000128,,attribute:,purchase order,purchase order number,,A unique code used to identify the purchase order within the company issuing the purchase order,,Example : 00058,Identifier,"Text, max 50 characters",,,,
CFIHOS-10000165,,attribute:,purchase order,purchase order receiver company name,,The name of the company that receives the purchase order,,Example : Flowserve,Mandatory,"Text, max 30 characters",company,,,receives
CFIHOS-00000105,A.3.05,entity:,purchase order item,,,An item on a purchase order,"The tag, not the model, are necessarily known at the time the purchase order is placed. But the specifications of what is needed are known, and hence the equipment class is known.",,,,,Mix Owner/Operator and EPC,,
CFIHOS-10000158,,attribute:,purchase order item,manufacturer company name,,A name used to uniquely identify the company who manufactures the model / part,,Example : Flowserve,Optional,"Text, max 30 characters",model part,,,is specified in
CFIHOS-10000159,,attribute:,purchase order item,model part name,,A unique name to identify the model part of the manufacturer,,Example : A4 V726 PN 40,Optional,"Text, max 100 characters",model part,,,is specified in
CFIHOS-10000180,,attribute:,purchase order item,purchase order issuer company name,,The name of the company issuing the purchase order,,Example : Engineering and co Ltd,Identifier,"Text, max 30 characters",purchase order,,,includes
CFIHOS-10000300,,attribute:,purchase order item,purchase order item description,,A description of what is being purchased through this item,,Example : pipeline elbows,Optional,"Text, max 255 characters",,,,
CFIHOS-10000301,,attribute:,purchase order item,purchase order item initial expected delivery date,,"The date, initially estimated, for the delivery of the purchase order item",,"Example : July 22, 2020",Optional,Date,,,,
CFIHOS-10000302,,attribute:,purchase order item,purchase order item latest revised delivery date,,The latest revised date for the delivery of the purchase order item,,"Example : August 6, 2020",Optional,Date,,,,
CFIHOS-10000299,,attribute:,purchase order item,purchase order item number,,A code that uniquely identifies an item in a purchase order,,Example : 0012,Identifier,Integer,,,,
CFIHOS-10000303,,attribute:,purchase order item,purchase order item quantity,,The quantity of what is purchased in this order item,,Example : 100,Optional,NUM,,,,
CFIHOS-10000128,,attribute:,purchase order item,purchase order number,,A unique code used to identify the purchase order within the company issuing the purchase order,,Example : 00058,Identifier,"Text, max 50 characters",purchase order,,,includes
CFIHOS-10000238,,attribute:,purchase order item,unit of measure name,,The unit of measure in which is expressed the quantity purchased in the purchase order item,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies the quantity of
CFIHOS-00000106,A.3.06,entity:,purchase order item tag,,,"A tag, or part of it, as covered in a purchase order item",,,,,,Mix Owner/Operator and EPC,,
CFIHOS-10000005,,attribute:,purchase order item tag,plant code,,The plant where the tag is or will be located,,Example : 6000,Identifier,"Text, max 40 characters",tag,,,has its acquisition covered by
CFIHOS-10000180,,attribute:,purchase order item tag,purchase order issuer company name,,The name of the company issuing the purchase order,,Example : Engineering and co Ltd,Identifier,"Text, max 30 characters",purchase order item,,,includes
CFIHOS-10000299,,attribute:,purchase order item tag,purchase order item number,,A code that uniquely identifies an item in a purchase order,,Example : 0012,Identifier,Integer,purchase order item,,,includes
CFIHOS-10000128,,attribute:,purchase order item tag,purchase order number,,A unique code used to identify the purchase order within the company issuing the purchase order,,Example : 00058,Identifier,"Text, max 50 characters",purchase order item,,,includes
CFIHOS-10000166,,attribute:,purchase order item tag,tag name,,The full name of a tag,Different companies have different tag naming conventions. A tag name shall be unique within a plant.,Example : 036FV001,Identifier,"Text, max 33 characters",tag,,,has its acquisition covered by
CFIHOS-00000040,A.3.07,entity:,engineering status,,,A phase of the engineering activities,,,,,,RDL Pick list,,
CFIHOS-10000189,,attribute:,engineering status,engineering status code,,A code that uniquely identifies an engineering phase or status,,Example : ASB,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000190,,attribute:,engineering status,engineering status description,,The description of what the engineering status or phase represents,,Example : As Built,Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000041,A.3.08,entity:,safety critical item group,,,A classification of tags according to safety requirements,,,,,,RDL Pick list,,
CFIHOS-10000029,,attribute:,safety critical item group,safety critical item group code,,"A code, as per SDE standards, that uniquely identifies the safety item group",,Example : DS001,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000191,,attribute:,safety critical item group,safety critical item group description,,A description of what the safety critical item group represents,,Example : Escape and Evacuation Routes,Optional,"Text, max 100 characters",,,,
CFIHOS-00000008,A.3.09,entity:,model part,,,A type of equipment that is manufactured by a manufacturer,A Manufacturer/Supplier's catalogue contains the list of ''Model Part'' that a manufacturer can build.,,,,,EPC,,
CFIHOS-10000395,,attribute:,model part,drawing position number,,Position / Item number of the item on the Manufacturer's Equipment drawing.,,Example : 001,Optional,Integer,,,,
CFIHOS-10000047,,attribute:,model part,equipment class name,,The full name of the tag or equipment class,,Example : control panel,Mandatory,"Text, max 100 characters",equipment class,,,defines the physical composition of
CFIHOS-10000158,,attribute:,model part,manufacturer company name,,A name used to uniquely identify the company who manufactures the model / part,,Example : Flowserve,Identifier,"Text, max 30 characters",company,,,makes
CFIHOS-10000192,,attribute:,model part,model part description,,A description of the main function of the model part,,Example : Control valve (Fieldbus),Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000159,,attribute:,model part,model part name,,A unique name to identify the model part of the manufacturer,,Example : A4 V726 PN 40,Identifier,"Text, max 100 characters",,,,
CFIHOS-10000396,,attribute:,model part,model part type,,The name of the model part type.,,"Example : CONSUMABLE, EQUIPMENT MODEL PART, KIT, SPARE PART or SPECIAL TOOL",Mandatory,"Text, max 40 characters",model part type,,,provides
CFIHOS-10000394,,attribute:,model part,original model part manufacturer name,,The original model part manufacturer name if different.,,Example : SKF,Optional,"Text, max 30 characters",model part,,,original manufacturer and part are
CFIHOS-10000400,,attribute:,model part,original model part name,,The original model part manufacturer part number if different.,,Example : W 619/2 X,Optional,"Text, max 100 characters",model part,,,original manufacturer and part are
CFIHOS-10000393,,attribute:,model part,shelf life,,The shelf life of the model part.,,Example : 1,Optional,NUM,,,,
CFIHOS-10000238,,attribute:,model part,unit of measure name,shelf life unit of measure name,The unit of measure that uniquely identifies the shelf life duration.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies the value of
CFIHOS-00000012,A.3.10,entity:,equipment,,,A physical device designed to perform a function,,,,,,EPC,,
CFIHOS-10000169,,attribute:,equipment,equipment actual installation date,,The date at which the equipment was actually installed,,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000032,,attribute:,equipment,equipment actual purchase date,,The date at which the equipment was actually purchased,,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000033,,attribute:,equipment,equipment actual startup date,,The date at which the equipment was actually started up,,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000047,,attribute:,equipment,equipment class name,,The full name of the tag or equipment class,,Example : control panel,Mandatory,"Text, max 100 characters",equipment class,,,defines the physical composition of
CFIHOS-10000031,,attribute:,equipment,equipment code,,A code used to identify uniquely the equipment.,"The number is sometimes generated by the company maintenance management system. Different companies use different naming conventions for their equipment code, like e.g. Equip_<plant_code>_<tag_name>, where plant_code/tag_name represent where the equipment is installed.",Example : 31000465212,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000163,,attribute:,equipment,equipment manufacturer serial number,,A unique identification number for the equipment as prescribed by the manufacturer,"If the equipment is a custom item designed specifically for this project, the contractor shall likewise assign a unique serial number. During the project this field may not be provided as the equipment is not received.",Example : AFKD34562837,Optional,"Text, max 50 characters",,,,
CFIHOS-10000170,,attribute:,equipment,equipment price,,"The price of the equipment for accounting, excluding freight, shipping and insurance costs",When provided the price must be qualified by a currency.,Example :1500,Optional,Decimal (10),,,,
CFIHOS-10000035,,attribute:,equipment,equipment warranty end date,,The date at which the warrant on the equipment will end,This date is usually supplied by the manufacturer.,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000193,,attribute:,equipment,ISO currency code,,The currency in which the price of the equipment is labelled.,,Example : USD,Optional,"Text, max 3 characters",iso currency,,,qualifies the price of
CFIHOS-10000158,,attribute:,equipment,manufacturer company name,,A name used to uniquely identify the company. who manufactures the equipment,,Example : Flowserve,Optional,"Text, max 30 characters",model part,,,is the model of
CFIHOS-10000159,,attribute:,equipment,model part name,,"A unique name to identify the model part of the manufacturer, and that the equipment is associated with",,Example : A4 V726 PN 40,Optional,"Text, max 100 characters",model part,,,is the model of
CFIHOS-10000005,,attribute:,equipment,plant code,,The plant where the equipment is or will be installed,,Example : 6000,Optional,"Text, max 40 characters",tag,,,is fulfilled by
CFIHOS-10000180,,attribute:,equipment,purchase order issuer company name,,The name of the company issuing the purchase order through which this equipment was acquired,,Example : Engineering and co Ltd,Optional,"Text, max 30 characters",purchase order item,,,results in the receipt of
CFIHOS-10000299,,attribute:,equipment,purchase order item number,,A code that uniquely identifies an item in a purchase order,,Example : 0012,Optional,Integer,purchase order item,,,results in the receipt of
