discipline document type CFIHOS unique code,discipline CFIHOS unique code,discipline code,discipline name,document type CFIHOS unique code,document type short code,document type name,document type description,discipline document type short code,asset type reference,representation type,native file delivery timing,native document format,authenticated record format,required document status for detailed engineering,required document status for construction,required document status for commissioning,required document status for startup,required document status for operations,review type,discipline document type comment,hardcopy document required,translated document required,document type synonym name
CFIHOS-20000513,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000153,4018,general arrangement diagram,A diagram showing the main features and locations of major items. Usually has some dimensions to convey spatial relationships but is generally inadequate for construction.,AA4018,Tag,Intelligent vector drawing (CAD),during project,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20000514,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000004,4301,action list,"A collection of activities tracking responsible parties and status, including but not limited to punch lists, issues lists, and check lists.",AA4301,Equipment,Structured Data,during project,,,IFI,IFI,IFI,IFI,IFI,not specified,,,,punch list;issue list;check list
CFIHOS-20000515,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000011,4303,applicable standards list,"A collection of all applicable company standards, international, national and industry codes & standards that are referenced in the company standards and project specific specifications.",AA4303,Plant,Structured Data,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000516,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000126,4322,equipment list,"A customized list developed to support discipline activities, extract from a Register that is used as a secondary reference (i.e. not the master). Considers all potential disciplines. Covers: conduits, panels, pipe supports, piping speciality items, lighting, etc.",AA4322,Tag,Structured Data,during project,,,IFD,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20000517,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000249,4880,general manual,A document that describes methods of working to be used to accomplish an activity. Warning: this should not be a compilation of other deliverables. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,AA4880,Plant,not specified,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,guide;guideline
CFIHOS-20000520,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000019,5706,assurance plan,A plan assuring that standards of quality are being met by systematically monitoring and evaluating the various aspects of deliverables vs standards.  Predecessor to 'document distribution matrix'.,AA5706,Plant,Text,at handover,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000521,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000136,5726,field development plan,A plan providing an evaluation of field development alternatives together with the selection of an optimal development concept based on subsurface scenarios (uncertainty) and field engineering options.,AA5726,Site,Text,at handover,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000522,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000273,5753,permit plan,"A document capturing what particular activities and requirements will be executed and delivered to secure the appropriate regulatory permits and licenses required to allow project work, construction and eventual operations to take place.",AA5753,Plant,Text,not applicable,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000523,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000302,5759,project control plan,A document capturing key project control execution plans applicable across the project scope.,AA5759,Plant,Text,at handover,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000524,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000317,5768,risk and opportunity management plan,"A document capturing how risks and opportunities will be documented, communicated, managed, and closed.  Typically the plan is built upon a strategy.",AA5768,Plant,Text,during project,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000525,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000376,5775,stakeholder engagement plan,A document capturing what particular activities and requirements will be executed and delivered to support effective communication with partners and external stakeholders.,AA5775,Site,Text,during project,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000526,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000386,5778,sustainable development plan,"A document capturing what particular activities and requirements will be executed and delivered to support a comprehensive development of the asset.  This includes but is not limited to community affairs, local content issues, societal effects of project, local business development, etc.",AA5778,Site,Text,during project,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000528,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000404,5798,project plan,"A document capturing key discipline execution plans applicable across the project scope (e.g., IM Plan, Execution Plan).",AA5798,Plant,Text,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,project execution plan
CFIHOS-20000529,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000188,5800,interface plan,A document capturing what particular activities and requirements will be executed and delivered to manage interface between internal and external parties (esp. between contract scopes).,AA5800,Plant,Text,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000530,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000094,5806,discipline delivery plan,A consolidated document describing discipline specific activities and deliverables and their criticality to drive appropriate review processes.  This is a starting point for document distribution matrix stating quality assurance and control requirements.,AA5806,Plant,Text,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000532,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000255,5880,general plan,A document capturing what particular activities and requirements will be executed and delivered.  Typically the plan is built upon a strategy.,AA5880,Plant,Text,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000533,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000265,5980,general strategy,A document outlining the application of a philosophical stance for decisions and the resulting principles that are to be followed to achieve the intent. Typically developed based on a philosophy.,AA5980,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000535,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000042,6006,change control procedure,"A procedure describing how changes through 'design', 'construction' and 'commissioning' will be managed.",AA6006,Plant,Text,at handover,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000536,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000051,6048,communication procedure,"A cross-discipline, internal and external communication procedure, responsibilities, and governance.",AA6048,Site,Text,at handover,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000537,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000189,6069,interface procedure,A procedures around Interface management activities between internal and external parties.,AA6069,Plant,Text,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000539,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000395,6402,change proposal,A document which captures a recommended course of action with justifications from technical and/or commercial aspects to execute an activity to change something.  May lead to a change request.,AA6402,Plant,Text,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000540,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000257,6480,general proposal,A document which captures a recommended course of action with justifications from technical and/or commercial aspects.,AA6480,Plant,Text,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000541,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000023,6603,authority matrix,"A list or register of people or organisations authorised to perform a range of tasks which may be technical, financial, contractual, organisational, or other. Includes Technical Authorities Matrix, Roles and Responsibilities, RACI/RASCI.",AA6603,Plant,Structured Data,during project,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000542,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000043,6605,change control register,"A consolidated register of proposed and/or processed change associated with all change to originally agreed design scope/statement of requirements, including basis for design.",AA6605,Plant,Text,during project,,,IFI,IFI,IFI,IFI,IFI,not specified,,,,
CFIHOS-20000545,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000319,6619,"risk, opportunity register",An authoritative collection of items with a relationship to risks and/or opportunities which have a potential to impact overall project performance.  The columns of this collection are specified and controlled.,AA6619,Plant,Structured Data,during project,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000546,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000190,6627,interface register,A register documenting agreements and responsibilities between internal and external parties (esp. between contract scopes).,AA6627,Plant,Text,during project,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20000547,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000258,6680,general register,An authoritative collection of values with a relationship to a specific topic or object that could be either technical or business related.  The columns of this collection are specified and controlled.,AA6680,Plant,Structured Data,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000549,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000230,6926,opportunity framing report,"Workshop, MOM, whitepapers, studies, brainstorm session etc.",AA6926,Plant,Text,not applicable,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000550,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000300,6944,progress report,"A report documenting progress made against a previously communicated plan or schedule. 'progress reports' can address time, scope, money, etc.",AA6944,Tag,Text,not applicable,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000552,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000259,7180,general report,"A written account of activities, conditions, occurrences, observations, or investigations at a specific time. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type. May include presentation.",AA7180,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000553,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000353,7202,waiver request,"Request, approval or rejection for the relaxation of an element of the particular regulatory 'code', 'standard', 'rule' or 'regulation' where such element conflicts with the 'international code' or 'standard' proposed for the facilities.",AA7202,Tag,Text,at handover,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000554,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000389,7205,technical deviation request,"A request, approval or rejection of changes to a technical specification. Would typically include justification and reasons for the request, and acceptance or rejection from a purely technical perspective.",AA7205,Tag,Text,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,concession request;change request
CFIHOS-20000555,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000092,7403,design review report,"A report documenting verification of a design, based on comparison with standards, constructability, operability, safety, etc. May be performed by internal or external resources.",AA7403,Tag,Text,during project,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000557,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000197,7417,lessons learned report,A report which documents lessons gained from the execution of the project.,AA7417,Tag,Text,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000558,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000261,7480,general review report,A report documenting results of a review.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,AA7480,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000559,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000024,7704,basis of design,"A document outlining the premise for decisions and the resulting principles that are to be followed regarding the design of the facility and comprising all process design philosophies including but not limited to environmental, drainage, ventilation, spading/isolation, plant availability/down time assessment and relief/blowdown philosophy etc.",AA7704,Plant,Text,at handover,,,IFD,IFD,not specified,not specified,IFD,not specified,,,,
CFIHOS-20000560,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000405,7739,project functional specification,A specification describing scope and objectives of the project and its execution; details to be provided by 'owner operator'.,AA7739,Plant,Text,at handover,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000561,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000331,7753,terms of reference,"A document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process.",AA7753,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000562,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000100,7772,drafting specification,"Rules and conventions for preparing drawings, including symbol lists, etc. may include drawing templates.",AA7772,Site,Text,at handover,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000564,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000081,7877,country regulation specific standard,"A specific standard documenting additional design, construction, work process, and documentation of plant as required by local regulations. This document type shall not be used to classify the engineering technical standards (e.g. API, ISO, etc.).",AA7877,Plant,not specified,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000565,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000082,7878,country regulation technical project documentation book,A technical document describing the facilities that are proposed to be built in a country and includes all information required for regulatory approval to proceed. The document is submitted to the regulatory authorities for review and approval.,AA7878,Plant,not specified,not applicable,,,not specified,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000566,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000264,7880,general specification,A document formally establishing the mandatory limits or parameters which are to be met. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,AA7880,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000567,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000026,8203,feasibility study,A document assessing the practicality and/or economics of a proposed solution.,AA8203,Plant,Text,at handover,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000570,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000267,8380,general study,A document detailing the result of a professional evaluation and/or investigation of a specific subject. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,AA8380,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000571,CFIHOS-20000001,AA,project management and engineering,CFIHOS-70000045,8502,clarification request,"Request (e.g., from a Contractor) for clarification of scope, technical details, or assumptions.",AA8502,Tag,Text,during project,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,technical query (tq);request for information (rfi)
CFIHOS-20000572,CFIHOS-20000002,BA,construction,CFIHOS-70000318,0709,risk assessment,An assessment which details the quantitative or qualitative risk related to a specific scenario presented to 'company'.,BA0709,Tag,Text,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000573,CFIHOS-20000002,BA,construction,CFIHOS-70000234,0780,general assessment,"An assessment which details a health check, GAP analysis, etc. both informal and to meet 'project management framework' requirements. Not to be used if a more specific document type can be used. Can be used for singular/specialty deliverables which do not have a unique document type.",BA0780,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000579,CFIHOS-20000002,BA,construction,CFIHOS-70000390,3323,technical note,A communication documenting how an engineering or maintenance issue will be resolved and what the implication of the solution is.,BA3323,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000585,CFIHOS-20000002,BA,construction,CFIHOS-70000200,5736,"lifting, hoisting, and rigging plan","A document capturing what particular activities and requirements will be executed and delivered for lifting, hoisting, and rigging.  Should cover scope regardless of timing in asset lifecycle.  Specific risks relating to simultaneous operations should be addressed.",BA5736,Tag,Text,not applicable,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000586,CFIHOS-20000002,BA,construction,CFIHOS-70000360,5789,weld map,A drawing that usually identifies all welds and relates them to the relevant welding procedure number and non destructive testing requirements.,BA5789,Equipment,not specified,at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20000590,CFIHOS-20000002,BA,construction,CFIHOS-70000363,6064,welding repair procedure,A document which describes a set of logically sequenced instructions to execute a weld repair.,BA6064,Plant,Text,during project,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20000591,CFIHOS-20000002,BA,construction,CFIHOS-70000408,6065,welding procedure specification,A specification that describes the welding procedure and process of a specific weld.,BA6065,Tag,Text,at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20000592,CFIHOS-20000002,BA,construction,CFIHOS-70000362,6066,welding procedure qualification,"A record documenting the execution and satisfactory testing of a weld procedure specification, typically includes all testing procedure references and both destructive and non-destructive testing results.",BA6066,Equipment,Text,during project,,,not specified,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000595,CFIHOS-20000002,BA,construction,CFIHOS-70000259,7180,general report,"A written account of activities, conditions, occurrences, observations, or investigations at a specific time. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type. May include presentation.",BA7180,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000596,CFIHOS-20000002,BA,construction,CFIHOS-70000407,7303,requisition,"A request with a brief description of the parts to be ordered, with a statement of the pertinent drawings, specifications, etc., as well as a list of drawings and documents to be provided by the manufacturer/supplier.",BA7303,Tag,Structured Data,not applicable,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000597,CFIHOS-20000002,BA,construction,CFIHOS-70000405,7739,project functional specification,A specification describing scope and objectives of the project and its execution; details to be provided by 'owner operator'.,BA7739,Plant,Text,at handover,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000598,CFIHOS-20000002,BA,construction,CFIHOS-70000331,7753,terms of reference,"A document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process.",BA7753,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000601,CFIHOS-20000002,BA,construction,CFIHOS-70000264,7880,general specification,A document formally establishing the mandatory limits or parameters which are to be met. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,BA7880,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000603,CFIHOS-20000002,BA,construction,CFIHOS-70000199,8236,lifting study,A study determine needs for cranes and handling equipment access for project phase also access and cost related considerations to be made.  Including project related materials handling and bulk handling.,BA8236,Tag,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000604,CFIHOS-20000002,BA,construction,CFIHOS-70000062,8382,constructability study,A document assessing sequence and method of construction of a facility to determine the best way to proceed.,BA8382,Plant,Text,at handover,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000606,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000029,3309,bill of quantities,A consolidated list of assemblies or bulk material showing the quantity of each required to suit a purpose. Use 'bill of materials' for sub assemblies and parts.,CB3309,Plant,Structured Data,during project,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20000607,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000181,3328,installation manual,"A document that describes methods of installing a piece of equipment.  Installation refers to the mounting, setting, erection, etc.",CB3328,Tag,not specified,not applicable,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20000608,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000153,4018,general arrangement diagram,A diagram showing the main features and locations of major items. Usually has some dimensions to convey spatial relationships but is generally inadequate for construction.,CB4018,Tag,Intelligent vector drawing (CAD),during project,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20000611,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000389,7205,technical deviation request,"A request, approval or rejection of changes to a technical specification. Would typically include justification and reasons for the request, and acceptance or rejection from a purely technical perspective.",CB7205,Tag,Text,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,concession request;change request
CFIHOS-20000612,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000407,7303,requisition,"A request with a brief description of the parts to be ordered, with a statement of the pertinent drawings, specifications, etc., as well as a list of drawings and documents to be provided by the manufacturer/supplier.",CB7303,Tag,Structured Data,not applicable,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000613,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000331,7753,terms of reference,"A document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process.",CB7753,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000614,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000264,7880,general specification,A document formally establishing the mandatory limits or parameters which are to be met. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,CB7880,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000615,CFIHOS-20000003,CB,architectural engineering,CFIHOS-70000045,8502,clarification request,"Request (e.g., from a Contractor) for clarification of scope, technical details, or assumptions.",CB8502,Tag,Text,during project,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,technical query (tq);request for information (rfi)
CFIHOS-20000617,CFIHOS-20000004,CG,geotechnical engineering,CFIHOS-70000276,2401,pile details,"A diagram showing all dimensions, length width or diameter depending on square vs round.  Shows welding detail if splices for steel piles.  Show where all reinforcing steel (rebar) or pretensioned cable configuration and tension for concrete.",CG2401,Plant,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20000619,CFIHOS-20000004,CG,geotechnical engineering,CFIHOS-70000373,6968,soil investigation and survey,"Onshore and/or offshore investigation and survey reports and topographic data. Includes soil, rock, minerals and organic matter from soil investigations and surveys.",CG6968,Plant,Text,not applicable,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000620,CFIHOS-20000004,CG,geotechnical engineering,CFIHOS-70000407,7303,requisition,"A request with a brief description of the parts to be ordered, with a statement of the pertinent drawings, specifications, etc., as well as a list of drawings and documents to be provided by the manufacturer/supplier.",CG7303,Tag,Structured Data,not applicable,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000621,CFIHOS-20000004,CG,geotechnical engineering,CFIHOS-70000331,7753,terms of reference,"A document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process.",CG7753,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000622,CFIHOS-20000004,CG,geotechnical engineering,CFIHOS-70000264,7880,general specification,A document formally establishing the mandatory limits or parameters which are to be met. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,CG7880,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000627,CFIHOS-20000004,CG,geotechnical engineering,CFIHOS-70000267,8380,general study,A document detailing the result of a professional evaluation and/or investigation of a specific subject. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,CG8380,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000628,CFIHOS-20000005,CI,infrastructure engineering,CFIHOS-70000153,4018,general arrangement diagram,A diagram showing the main features and locations of major items. Usually has some dimensions to convey spatial relationships but is generally inadequate for construction.,CI4018,Tag,Intelligent vector drawing (CAD),during project,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20000629,CFIHOS-20000005,CI,infrastructure engineering,CFIHOS-70000407,7303,requisition,"A request with a brief description of the parts to be ordered, with a statement of the pertinent drawings, specifications, etc., as well as a list of drawings and documents to be provided by the manufacturer/supplier.",CI7303,Tag,Structured Data,not applicable,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000630,CFIHOS-20000005,CI,infrastructure engineering,CFIHOS-70000331,7753,terms of reference,"A document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process.",CI7753,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000631,CFIHOS-20000006,CS,structural engineering,CFIHOS-70000175,0514,in place analysis,"A report documenting  assumptions and method determining computer structural analysis for topsides modules including piperack, flare tower, bridge for in-place loading condition.",CS0514,Plant,not specified,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
